"","cname","ccodealp","ht_region","wdi_gdpcapcur","wdi_pop","p_polity2","wdi_oilrent"
"1","Afghanistan","AFG",8,519.884765625,36296400,-1,0.0012130540562794
"2","Albania","ALB",1,4531.02099609375,2873457,9,1.36772859096527
"3","Algeria","DZA",3,4111.2939453125,41389200,2,12.3618497848511
"4","Andorra","AND",5,38962.87890625,77001,NA,NA
"5","Angola","AGO",4,4095.81298828125,29816748,-2,15.4438591003418
"6","Antigua and Barbuda","ATG",10,15383.4150390625,95426,NA,0
"7","Azerbaijan","AZE",1,4147.08984375,9854033,-7,17.8164310455322
"8","Argentina","ARG",2,14613.0419921875,44044812,9,0.727117836475372
"9","Australia","AUS",5,54027.96875,24601860,10,0.210423767566681
"10","Austria","AUT",5,47426.51171875,8797566,10,0.0314545035362244
"11","Bahamas","BHS",10,32718.638671875,381761,NA,0
"12","Bahrain","BHR",3,23742.984375,1494074,-10,2.01330471038818
"13","Bangladesh","BGD",8,1563.91369628906,159670592,1,0.0173928961157799
"14","Armenia","ARM",1,3914.50122070312,2944809,5,0
"15","Barbados","BRB",10,17391.42578125,286233,NA,0.0517964214086533
"16","Belgium","BEL",5,44192.62109375,11375158,8,0
"17","Bhutan","BTN",8,3286.57470703125,745568,5,0
"18","Bolivia","BOL",2,3351.1240234375,11192854,7,1.11476278305054
"19","Bosnia and Herzegovina","BIH",1,5394.59130859375,3351527,NA,0
"20","Botswana","BWA",4,7893.232421875,2205128,8,0
"21","Brazil","BRA",2,9925.38671875,207833824,8,1.23883807659149
"22","Belize","BLZ",10,4887.5771484375,375769,NA,0.572348475456238
"23","Solomon Islands","SLB",9,2332.81494140625,636038,8,0
"24","Brunei","BRN",7,28572.146484375,424473,NA,8.83019828796387
"25","Bulgaria","BGR",1,8334.08203125,7075947,9,0.0081822741776705
"26","Myanmar","MMR",7,1291.54235839844,53382580,8,0.170279607176781
"27","Burundi","BDI",4,292.997619628906,10827024,-1,0
"28","Belarus","BLR",1,5761.7470703125,9498264,-7,0.512836754322052
"29","Cambodia","KHM",7,1385.26000976562,16009414,-4,0
"30","Cameroon","CMR",4,1425.10778808594,24566044,-4,2.53321242332458
"31","Canada","CAN",5,45148.55078125,36543320,10,0.893714308738708
"32","Cape Verde","CPV",4,3292.64575195312,537497,10,0
"33","Central African Republic","CAF",4,450.900238037109,4596028,6,0
"34","Sri Lanka","LKA",8,4077.04370117188,21444000,6,0
"35","Chad","TCD",4,665.948364257812,15016773,-2,15.0190849304199
"36","Chile","CHL",2,14999.3701171875,18470440,10,0.0113703571259975
"37","China","CHN",6,8879.4384765625,1386395008,-7,0.331974387168884
"38","Taiwan","TWN",6,NA,NA,10,NA
"39","Colombia","COL",2,6376.70654296875,48909844,7,2.65813016891479
"40","Comoros","COM",4,1323.81164550781,813892,9,0
"41","Congo","COG",4,2191.22045898438,5110702,-4,34.0022277832031
"42","Congo, Democratic Republic","COD",4,467.074249267578,81398768,-3,0.56555837392807
"43","Costa Rica","CRI",2,11814.626953125,4949954,10,0
"44","Croatia","HRV",1,13451.625,4124531,9,0.232720166444778
"45","Cuba","CUB",2,8541.2109375,11339259,-7,0.267932623624802
"46","Cyprus (1975-)","CYP",3,26338.6953125,1179680,10,0
"47","Czech Republic","CZE",1,20636.19921875,10594438,9,0.0093466136604548
"48","Benin","BEN",4,1136.59289550781,11175204,7,0.0966985449194908
"49","Denmark","DNK",5,57610.09765625,5764980,10,0.384000331163406
"50","Dominica","DMA",10,7274.72119140625,71458,NA,0
"51","Dominican Republic","DOM",2,7609.3388671875,10513131,7,0
"52","Ecuador","ECU",2,6213.50146484375,16785360,5,4.9280366897583
"53","El Salvador","SLV",2,3910.25708007812,6388122,8,0
"54","Equatorial Guinea","GNQ",4,9667.912109375,1262001,-6,19.3322505950928
"55","Ethiopia (1993-)","ETH",4,768.522277832031,106400024,-3,0
"56","Eritrea","ERI",4,NA,NA,-7,NA
"57","Estonia","EST",1,20458.4609375,1317384,9,0.26825401186943
"58","Fiji","FJI",9,6101.03076171875,877459,2,0
"59","Finland","FIN",5,46336.6640625,5508214,10,0
"60","France (1963-)","FRA",5,38812.16015625,66864380,9,0.0054577919654548
"61","Djibouti","DJI",4,2914.3837890625,944097,3,0
"62","Gabon","GAB",4,7230.396484375,2064823,3,15.3893575668335
"63","Georgia","GEO",1,4357.0009765625,3728004,7,0.137386456131935
"64","Gambia","GMB",4,679.756896972656,2213894,4,0
"65","Germany","DEU",5,44552.8203125,82657000,10,0.0113007389008999
"66","Ghana","GHA",4,2025.93237304688,29121472,8,2.95676612854004
"67","Kiribati","KIR",9,1640.50012207031,114158,NA,0
"68","Greece","GRC",5,18930.21875,10754679,10,0.0129938470199704
"69","Grenada","GRD",10,10152.8330078125,110874,NA,0
"70","Guatemala","GTM",2,4451.451171875,16087418,8,0.130683317780495
"71","Guinea","GIN",4,855.573669433594,12067539,4,0
"72","Guyana","GUY",10,6124.93017578125,775221,7,0
"73","Haiti","HTI",2,1294.23974609375,10982366,5,0
"74","Honduras","HND",2,2453.72778320312,9429013,7,0
"75","Hungary","HUN",1,14605.8544921875,9787966,10,0.0942800268530846
"76","Iceland","ISL",5,71310.9375,343400,NA,0
"77","India","IND",8,1981.65100097656,1338658816,9,0.321649700403214
"78","Indonesia","IDN",7,3837.65161132812,264645888,9,0.83698570728302
"79","Iran","IRN",3,5520.310546875,80673952,-7,15.6460771560669
"80","Iraq","IRQ",3,5205.2880859375,37552780,6,37.1207580566406
"81","Ireland","IRL",5,69822.34375,4807388,10,0
"82","Israel","ISR",3,40541.86328125,8713300,6,0.0017497197259218
"83","Italy","ITA",5,32406.720703125,60536708,10,0.039413683116436
"84","Cote d'Ivoire","CIV",4,2111.02709960938,24437468,4,0.897904694080353
"85","Jamaica","JAM",10,5069.18408203125,2920853,9,0
"86","Japan","JPN",6,38386.51171875,126785800,10,0.0020385857205838
"87","Kazakhstan","KAZ",1,9247.5810546875,18037776,-6,9.95901584625244
"88","Jordan","JOR",3,4234.4033203125,9779173,-3,0.0008564915624447
"89","Kenya","KEN",4,1572.33544921875,50221472,9,0
"90","Korea, North","PRK",6,NA,25429984,-10,NA
"91","Korea, South","KOR",6,31616.84375,51361912,8,0.0021794268395752
"92","Kuwait","KWT",3,29759.435546875,4056099,-7,35.5059814453125
"93","Kyrgyzstan","KGZ",1,1242.76965332031,6198200,8,0.101514771580696
"94","Laos","LAO",7,2423.84619140625,6953035,-7,0
"95","Lebanon","LBN",3,7801.1787109375,6811873,6,0
"96","Lesotho","LSO",4,1150.07922363281,2091412,8,0
"97","Latvia","LVA",1,15682.2216796875,1942248,8,0
"98","Liberia","LBR",4,698.701782226562,4702228,6,0
"99","Libya","LBY",3,5756.6982421875,6580724,0,37.5223693847656
"100","Liechtenstein","LIE",5,173356.046875,37800,NA,NA
"101","Lithuania","LTU",1,16885.408203125,2828403,10,0.0254129972308874
"102","Luxembourg","LUX",5,107627.1484375,596336,10,0
"103","Madagascar","MDG",4,515.292724609375,25570540,6,0.102257668972015
"104","Malawi","MWI",4,356.717559814453,17670260,6,0
"105","Malaysia (1966-)","MYS",7,10259.181640625,31105028,5,2.20356726646423
"106","Maldives","MDV",8,9577.625,496402,NA,0
"107","Mali","MLI",4,830.018371582031,18512394,5,0
"108","Malta","MLT",5,28091.861328125,467999,NA,0
"109","Mauritania","MRT",4,1578.11413574219,4282574,-2,0.60243171453476
"110","Mauritius","MUS",4,10484.908203125,1264613,10,0
"111","Mexico","MEX",2,9287.849609375,124777328,8,1.70699656009674
"112","Monaco","MCO",5,167517.0625,38392,NA,NA
"113","Mongolia","MNG",6,3669.41748046875,3113779,10,1.86260724067688
"114","Moldova","MDA",1,3509.693359375,2755158,9,0.0095701795071363
"115","Montenegro","MNE",1,7784.087890625,622373,9,0
"116","Morocco","MAR",3,3036.3251953125,35581296,-4,0.0068306140601635
"117","Mozambique","MOZ",4,461.415100097656,28649008,5,0.0965055525302887
"118","Oman","OMN",3,15130.5205078125,4665935,-8,21.7903308868408
"119","Namibia","NAM",4,5303.30908203125,2402603,6,0
"120","Nauru","NRU",9,8510.8681640625,12876,NA,0
"121","Nepal","NPL",8,911.444274902344,27627124,6,0
"122","Netherlands","NLD",5,48675.22265625,17131296,10,0.0213321931660175
"123","Vanuatu","VUT",9,3082.35620117188,285510,NA,0
"124","New Zealand","NZL",5,42849.42578125,4793900,10,0.159430056810379
"125","Nicaragua","NIC",2,2159.15795898438,6384855,6,0
"126","Niger","NER",4,517.975036621094,21602472,5,1.36269497871399
"127","Nigeria","NGA",4,1968.56469726562,190873312,7,6.12356281280518
"128","Norway","NOR",5,75496.7578125,5276968,10,3.75642323493958
"129","Micronesia","FSM",9,3289.701171875,111459,NA,0
"130","Marshall Islands","MHL",9,3666.6953125,58058,NA,NA
"131","Palau","PLW",9,16066.1953125,17808,NA,NA
"132","Pakistan (1971-)","PAK",8,1464.99328613281,207896688,7,0.340958148241043
"133","Panama","PAN",2,15150.345703125,4106771,9,0
"134","Papua New Guinea","PNG",9,2695.251953125,8438029,5,2.36235284805298
"135","Paraguay","PRY",2,5680.58056640625,6867062,9,0
"136","Peru","PER",2,6710.5078125,31444296,9,0.203049287199974
"137","Philippines","PHL",7,3123.23413085938,105173264,8,0.0488165356218815
"138","Poland","POL",1,13864.681640625,37974824,10,0.0351671800017357
"139","Portugal","PRT",5,21490.4296875,10300300,10,0
"140","Guinea-Bissau","GNB",4,738.549926757812,1828146,6,0
"141","Timor-Leste","TLS",7,1286.40576171875,1243261,8,26.6524085998535
"142","Qatar","QAT",3,59124.93359375,2724724,-10,14.2415990829468
"143","Romania","ROU",1,10807.794921875,19587290,9,0.318040430545807
"144","Russia","RUS",1,10720.3330078125,144496736,4,6.45558404922485
"145","Rwanda","RWA",4,772.318481445312,11980937,-3,0
"146","St Kitts and Nevis","KNA",10,19158.744140625,52036,NA,0
"147","St Lucia","LCA",10,11047.4453125,180955,NA,0
"148","St Vincent and the Grenadines","VCT",10,7212.9599609375,109827,NA,0
"149","San Marino","SMR",5,45399.02734375,33671,NA,NA
"150","Sao Tome and Principe","STP",4,1813.783203125,207089,NA,0
"151","Saudi Arabia","SAU",3,20803.74609375,33099148,-10,23.0539741516113
"152","Senegal","SEN",4,1361.69958496094,15419381,7,0
"153","Serbia","SRB",1,6292.54345703125,7020858,8,0.0938400626182556
"154","Seychelles","SYC",4,15906.083984375,95843,NA,0
"155","Sierra Leone","SLE",4,499.380706787109,7488431,7,0
"156","Singapore","SGP",7,60913.74609375,5612253,-2,0
"157","Slovakia","SVK",1,17556.6015625,5439232,10,0.0272322222590446
"158","Vietnam","VNM",7,2365.62158203125,94596640,-7,1.27171218395233
"159","Slovenia","SVN",1,23512.81640625,2066388,10,9.52822811087e-05
"160","Somalia","SOM",4,NA,14589119,5,NA
"161","South Africa","ZAF",4,6132.47998046875,57000452,9,0.0057958094403148
"162","Zimbabwe","ZWE",4,1548.17004394531,14236745,4,0
"163","Spain","ESP",5,28170.16796875,46593236,10,0.0017191607039422
"164","South Sudan","SSD",4,1119.6513671875,10910759,0,8.55303478240967
"165","Sudan (2012-)","SDN",4,1111.86840820312,40813396,-4,2.60586977005005
"166","Suriname","SUR",10,5637.51513671875,570501,5,4.87148666381836
"167","Eswatini (former Swaziland)","SWZ",4,3914.61328125,1124753,-9,0
"168","Sweden","SWE",5,53791.5078125,10057698,10,0
"169","Switzerland","CHE",5,80449.9921875,8451840,10,0
"170","Syria","SYR",3,NA,17068002,-9,NA
"171","Tajikistan","TJK",1,806.041564941406,8880268,-3,0.0648372247815132
"172","Thailand","THA",7,6592.9150390625,69209856,-3,0.590573489665985
"173","Togo","TGO",4,626.091552734375,7698475,-2,0
"174","Tonga","TON",9,4513.609375,101998,NA,0
"175","Trinidad and Tobago","TTO",10,16238.193359375,1384072,10,3.10158038139343
"176","United Arab Emirates","ARE",3,40644.8046875,9487203,-8,13.046028137207
"177","Tunisia","TUN",3,3481.22875976562,11433443,7,1.55345714092255
"178","Turkey","TUR",3,10591.474609375,81101888,-4,0.0559469982981682
"179","Turkmenistan","TKM",1,6587.09033203125,5757669,-8,5.02459192276001
"180","Tuvalu","TUV",9,3572.49365234375,11370,NA,0
"181","Uganda","UGA",4,747.196899414062,41162464,-1,0
"182","Ukraine","UKR",1,2640.67578125,44831136,4,0.243433684110642
"183","North Macedonia","MKD",1,5430.8740234375,2081996,9,0
"184","Egypt","EGY",3,2444.29028320312,96442592,-4,4.07092142105103
"185","United Kingdom","GBR",5,40361.41796875,66058860,8,0.31952115893364
"186","Tanzania","TZA",4,1004.84112548828,54663904,3,0
"187","United States","USA",5,60062.22265625,324985536,8,0.177408635616302
"188","Burkina Faso","BFA",4,734.994445800781,19193284,6,0
"189","Uruguay","URY",2,17322.146484375,3436646,10,0
"190","Uzbekistan","UZB",1,1826.56689453125,32388600,-9,0.721003770828247
"191","Venezuela","VEN",2,16054.490234375,29390408,-3,9.83243846893311
"192","Samoa","WSM",9,4259.76513671875,195352,NA,0
"193","Yemen","YEM",3,960.528503417969,27834820,0,0.791113078594208
"194","Zambia","ZMB",4,1534.86669921875,16853688,6,0
